i;j;a(i.j);
1;25;527.5;
1;26;269.2;
1;27;-300;
1;28;-63.6;
1;29;928.3;
1;30;331.0;
1;31;561.4;
1;32;956.5;
2;29;500.7;
2;30;115.4;
2;31;784.4;
2;32;265.4;
3;25;358.9;
3;26;363.5;
3;27;-578.2;
3;29;364.2;
3;30;-58.1;
3;31;21.97;
3;32;84.16;
4;25;337.7;
4;26;1023;
4;27;-390.7;
4;31;238.0;
4;32;132.2;
5;25;536.6;
5;26;53.37;
5;27;183.3;
5;28;-44.44;
8;25;-269.2;
8;27;-873.6;
8;28;1429;
8;29;-364.2;
8;30;-117.4;
8;31;18.41;
9;25;-538.6;
9;27;-637.3;
10;25;211.6;
10;28;148.0;
12;25;-278.2;
12;27;-208.4;
12;28;-13.91;
12;30;173.8;
13;25;572.2;
13;28;-2.16;
14;25;343.1;
18;27;18.98;
20;25;124.8;
20;27;-387.7;
21;27;134.3;
22;25;125.3;
22;27;924.5;
23;25;139.8;
24;25;963;
25;25;0;
26;26;0;
27;27;0;
28;28;0;
29;29;0;
30;30;0;
31;31;0;
32;32;0;
1;17;-243.9;
1;18;7.5;
1;19;-5.55;
1;20;924.8;
1;21;696.8;
1;22;902.2;
1;23;556.7;
1;24;575.7;
2;17;337.1;
2;18;4583;
2;19;5831;
2;21;405.9;
2;23;425.7;
3;18;-231.9;
3;19;3000;
3;20;-878.1;
3;21;29.13;
3;22;1.640;
3;23;-1.77;
3;24;-11.19;
4;18;-12.14;
4;19;-141.3;
4;20;-107.3;
4;21;1208;
4;22;689.6;
4;23;3629;
4;24;-175.6;
5;17;272.2;
5;18;-16.57;
5;19;-41.75;
5;20;-597.1;
5;21;-189.3;
5;22;-348.2;
5;23;-30.7;
5;24;-159;
6;17;128.6;
6;18;1544;
6;19;224.6;
6;23;150.8;
7;17;507.8;
7;18;1544;
7;19;-207;
7;23;150.8;
8;17;370.7;
8;18;356.8;
8;19;502.9;
8;20;-97.27;
8;21;198.3;
8;22;-109.8;
8;23;1539;
8;24;32.92;
9;19;4894;
9;22;-851.6;
9;24;-16.13;
10;17;-301;
10;18;12.01;
10;19;-10.88;
10;20;902.6;
10;21;430.6;
10;22;1010;
10;23;400.0;
10;24;-328.6;
11;17;-347.9;
12;17;1670;
12;18;-249.3;
12;19;61.59;
12;22;942.2;
13;17;108.9;
13;18;48.15;
13;19;43.83;
13;20;874.3;
13;21;-149.2;
13;23;446.3;
14;17;137.8;
14;18;-209.7;
14;19;54.57;
14;20;629;
15;17;110.5;
15;18;-154.3;
15;19;47.67;
15;23;95.18;
16;17;0;
16;18;249.2;
16;19;62.42;
17;19;56.33;
18;17;17.97;
18;18;0;
18;19;-30.1;
18;21;70.04;
18;22;-75.5;
19;18;51.9;
19;19;0;
19;20;475.8;
19;21;492;
19;22;1302;
19;23;490.9;
19;24;534.7;
20;19;-255.4;
20;20;0;
20;21;346.2;
20;23;-154.5;
21;18;-15.62;
21;19;-54.86;
21;20;-465.2;
21;21;0;
22;18;-216.3;
22;19;8455;
22;22;0;
22;24;179.9;
23;19;-34.68;
23;20;794.4;
23;23;0;
24;19;514.6;
24;22;175.8;
24;24;0;
25;20;-241.7;
25;22;164.4;
25;23;481.3;
25;24;-246;
26;22;-944.9;
27;18;-114.7;
27;20;-906.5;
27;21;-169.7;
1;9;2255;
1;10;472.6;
1;11;158.1;
1;12;383;
1;13;138.4;
1;14;972.4;
1;15;662.1;
1;16;42.14;
2;10;343.7;
2;11;-214.7;
2;13;1647;
2;14;-577.5;
2;15;289.3;
2;16;99.61;
3;9;1649;
3;10;593.7;
3;11;362.3;
3;12;31.14;
3;13;461.8;
3;14;6;
3;15;32.14;
3;16;-18.81;
4;9;292.6;
4;10;916.7;
4;11;1218;
4;12;715.6;
4;13;339.1;
4;14;5688;
4;15;213.1;
4;16;-114.1;
5;9;-195.5;
5;10;67.07;
5;11;1409;
5;12;-140.3;
5;13;-104;
5;14;195.6;
5;15;262.5;
5;16;62.05;
6;9;-153.2;
6;10;-47.41;
6;11;-344.1;
6;12;299.3;
6;13;244.4;
6;14;19.57;
6;15;1970;
6;16;-166.4;
7;9;-153.2;
7;10;353.8;
7;11;-338.6;
7;12;-241.8;
7;13;-57.98;
7;14;487.1;
7;15;1970;
7;16;-166.4;
8;9;344.5;
8;10;-171.8;
8;11;-349.9;
8;12;66.95;
8;13;-465.7;
8;14;-6.32;
8;15;64.42;
8;16;315.9;
9;9;0;
9;10;-825.7;
9;14;-898.3;
10;9;-586;
10;10;0;
10;11;-37.36;
10;12;120.3;
10;13;1247;
10;14;258.7;
10;15;5.202;
10;16;1000;
11;10;128;
11;11;0;
11;12;1724;
11;13;0.750;
11;14;-245.8;
11;16;751.8;
12;10;48.93;
12;11;-311.6;
12;12;0;
12;13;1919;
12;14;57.70;
13;9;-337.3;
13;10;-101.3;
13;11;1051;
13;12;-115.7;
13;13;0;
13;14;-117.6;
13;15;-96.62;
13;16;19.77;
14;10;58.84;
14;11;1090;
14;12;-46.13;
14;13;1417;
14;14;0;
14;15;-235.7;
15;10;52.38;
15;13;1402;
15;14;461.3;
15;15;0;
15;16;301.1;
16;10;483.9;
16;11;-47.51;
16;13;337.1;
16;15;225.4;
16;16;0;
17;10;550.6;
17;12;808.8;
17;13;437.7;
17;14;-132.9;
17;15;-197.7;
17;16;-21.35;
18;10;342.2;
18;12;203.1;
18;13;370.4;
18;14;176.5;
18;15;-20.93;
18;16;-157.1;
19;9;1616;
19;10;550;
19;12;70.14;
19;13;438.1;
19;14;129.5;
19;15;113.9;
19;16;11.8;
20;10;190.5;
20;13;1349;
20;14;-246.3;
21;10;-349.2;
21;14;2.41;
22;9;-860.3;
22;10;857.7;
22;13;681.4;
23;10;377;
23;13;152.4;
23;15;-94.49;
24;9;-230.4;
24;10;211.6;
25;9;523;
25;10;82.77;
25;12;-75.23;
25;13;-1707;
25;14;29.86;
27;9;-227.7;
27;12;-201.9;
28;10;417.4;
28;12;123.2;
28;13;639.7;
30;12;-281.9;
1;1;0;
1;2;74.54;
1;3;-114.8;
1;4;-115.7;
1;5;644.6;
1;6;329.6;
1;7;310.7;
1;8;1300;
2;1;292.3;
2;2;0;
2;3;340;
2;4;4102;
2;5;724.4;
2;6;1731;
2;7;1731;
2;8;896.0;
3;1;156.5;
3;2;-94.78;
3;3;0;
3;4;167;
3;5;703.9;
3;6;511.5;
3;7;577.3;
3;8;859.4;
4;1;104.4;
4;2;-269.7;
4;3;-146.8;
4;4;0;
4;5;4000;
4;6;136.6;
4;7;906.8;
4;8;5695;
5;1;328.2;
5;2;470.7;
5;3;-9.21;
5;4;1.270;
5;5;0;
5;6;937.3;
5;7;991.3;
5;8;28.73;
6;1;-136.7;
6;2;-135.7;
6;3;-223;
6;4;-162.6;
6;5;-281.1;
6;6;0;
6;7;0;
6;8;-61.29;
7;1;-131.9;
7;2;-135.7;
7;3;-252;
7;4;-273.6;
7;5;-268.8;
7;6;0;
7;7;0;
7;8;5.890;
8;1;342.4;
8;2;220.6;
8;3;372.8;
8;4;203.7;
8;5;-122.4;
8;6;247.0;
8;7;104.9;
8;8;0;
9;1;-159.8;
9;3;-473.2;
9;4;-470.4;
9;5;-63.15;
9;6;-547.2;
9;7;-547.2;
9;8;-595.9;
10;1;66.56;
10;2;306.1;
10;3;-78.31;
10;4;-73.87;
10;5;216.0;
10;6;401.7;
10;7;-127.6;
10;8;634.8;
11;1;146.1;
11;2;517.0;
11;3;-75.3;
11;4;223.2;
11;5;-431.3;
11;6;643.4;
11;7;231.4;
11;8;623.7;
12;1;14.78;
12;3;-10.44;
12;4;-184.9;
12;5;444.7;
12;6;-94.64;
12;7;732.3;
12;8;211.6;
13;1;1744;
13;2;-48.52;
13;3;75.49;
13;4;147.3;
13;5;118.4;
13;6;728.7;
13;7;349.1;
13;8;652.3;
14;1;-320.1;
14;2;485.6;
14;3;114.8;
14;4;-170;
14;5;180.6;
14;6;-76.64;
14;7;-152.8;
14;8;385.9;
15;1;1571;
15;2;76.44;
15;3;52.13;
15;4;65.69;
15;5;137.1;
15;6;-218.1;
15;7;-218.1;
15;8;212.8;
16;1;73.80;
16;2;-24.36;
16;3;4.68;
16;4;122.9;
16;5;455.1;
16;6;351.5;
16;7;351.5;
16;8;770.0;
17;1;27.90;
17;2;-52.71;
17;5;669.2;
17;6;-186.1;
17;7;-401.6;
17;8;740.4;
18;1;21.23;
18;2;-185.1;
18;3;288.5;
18;4;33.61;
18;5;418.4;
18;6;-465.7;
18;7;-465.7;
18;8;793.2;
19;1;89.93;
19;2;-293.7;
19;3;-4.7;
19;4;134.7;
19;5;713.5;
19;6;-260.3;
19;7;512.2;
19;8;1205;
20;1;-59.06;
20;3;777.8;
20;4;-47.13;
20;5;1989;
20;8;390.7;
21;1;29.08;
21;2;34.78;
21;3;56.41;
21;4;-53.29;
21;5;2011;
21;8;63.48;
22;1;175.8;
22;3;-218.9;
22;4;-15.41;
22;5;529;
22;6;264.7;
22;7;264.7;
22;8;-239.8;
23;1;94.34;
23;2;375.4;
23;3;113.6;
23;4;-97.05;
23;5;483.8;
23;8;13.32;
24;1;193.6;
24;3;7.180;
24;4;-127.1;
24;5;332.6;
24;8;439.9;
25;1;108.5;
25;3;247.3;
25;4;453.4;
25;5;-289.3;
25;8;-424.3;
26;1;81.49;
26;3;-50.71;
26;4;-30.28;
26;5;-99.56;
27;1;-128.8;
27;3;-877.3;
27;4;-124.6;
27;5;-319.2;
27;8;203;
28;1;147;
28;5;837.9;
28;8;1153;
29;1;-11.91;
29;2;176.7;
29;3;-80.48;
29;8;311;
30;1;14.91;
30;2;132.1;
30;3;-17.78;
30;8;-262.6;
31;1;67.84;
31;2;42.73;
31;3;59.16;
31;4;26.59;
31;8;1.11;
32;1;36.42;
32;2;60.82;
32;3;29.77;
32;4;55.97;