Group;Symbol;Rk;Qk
1;CH3;0.6325;1.0608
1;CH2;0.6325;0.7081
1;CH;0.6325;0.3554
1;C;0.6325;0
2;CH2=CH;1.2832;1.6016
2;CH=CH;1.2832;1.2489
2;CH2=C;1.2832;1.2489
2;CH=C;1.2832;0.8962
3;ACH;0.3763;0.4321
3;AC;0.3763;0.2113
4;ACCH3;0.91;0.949
4;ACCH2;0.91;0.7962
4;ACCH;0.91;0.3769
5;OH(P);1.2302;0.8927
6;CH3OH;0.8585;0.9938
7;H2O;1.7334;2.4561
8;ACOH;1.08;0.975
9;CH3CO;1.7048;1.67
9;CH2CO;1.7048;1.5542
10;CHO;0.7173;0.771
11;CH3COO;1.27;1.6286
11;CH2COO;1.27;1.4228
12;HCOO;1.9;1.8
13;CH3O;1.1434;1.6022
13;CH2O;1.1434;1.2495
13;CHO;1.1434;0.8968
43;THF;1.7023;1.8784
14;CH3NH2;1.6607;1.6904
14;CH2NH2;1.6607;1.3377
14;CHNH2;1.6607;0.985
15;CH3NH;1.368;1.4332
15;CH2NH;1.368;1.0805
15;CHNH;1.368;0.7278
16;CH3N;1.0746;1.176
16;CH2N;1.0746;0.824
17;ACNH2;1.1849;0.8067
18;AC2H2N;1.4578;0.9022
18;AC2HN;1.2393;0.633
18;AC2N;1.0731;0.353
19;CH3CN;1.5575;1.5193
19;CH2CN;1.5575;1.1666
20;COOH;0.8;0.9215
44;HCOOH;0.8;1.2742
21;CH2Cl;0.9919;1.3654
21;CHCl;0.9919;1.0127
21;CCl;0.9919;0.66
22;CH2Cl2;1.8;2.5
22;CHCl2;1.8;2.1473
22;CCl2;1.8;1.7946
45;CHCl3;2.45;2.8912
23;CCl3;2.65;2.3778
24;CCl4;2.618;3.1836
25;ACCl;0.5365;0.3177
26;CH3NO2;2.644;2.5
26;CH2NO2;2.5;2.304
26;CHNO2;2.887;2.241
27;ACNO2;0.4656;0.3589
28;CS2;1.24;1.068
29;CH3SH;1.289;1.762
29;CH2SH;1.535;1.316
30;FURFURAL;1.299;1.289
31;DOH;2.088;2.4
32;I;1.076;0.9169
33;BR;1.209;1.4
34;CH=-C;0.9214;1.3
34;C=-C;1.303;1.132
35;DMSO;3.6;2.692
36;ACRY;1;0.92
37;Cl-(C=C);0.5229;0.7391
2;C=C;1.2832;0.4582
38;ACF;0.8814;0.7269
39;DMF;2;2.093
39;HCON(..;2.381;1.522
40;CF3;1.284;1.266
40;CF2;1.284;1.098
40;CF;0.8215;0.5135
41;COO;1.6;0.9
42;CY-CH2;0.7136;0.8635
42;CY-CH;0.3479;0.1071
42;CY-C;0.347;0
5;OH(S);1.063;0.8663
5;OH(T);0.6895;0.8345
43;CY-CH2O;1.4046;1.4
43;TRIOXAN;1.0413;1.0116
14;CNH2;1.6607;0.985
46;NMP;3.981;3.2
46;NEP;3.7543;2.892
46;NIPP;3.5268;2.58
46;NTBP;3.2994;2.352
47;CONH2;1.4515;1.248
47;CONHCH3;1.5;1.08
49;HCONHCH3;2.4617;2.192
49;HCONHCH2;2.4617;1.842
47;CONHCH2;1.5;1.08
48;AM(CH3)2;2.4748;1.9643
48;AMCH3CH2;2.2739;1.5754
48;AM(CH2)2;2.0767;1.1866
52;AC2H2S;1.7943;1.34
52;AC2HS;1.6282;1.06
52;AC2S;1.4621;0.78
53;H2COCH;1.3601;1.8031
53;COCH;0.683;0.3418
53;HCOCH;0.9104;0.6538
56;(CH2)2SU;2.687;2.12
56;CH2SUCH;2.46;1.808
55;(CH3)2CB;2.42;2.4976
55;(CH2)2CB;2.42;2.0018
55;CH2CH3CB;2.42;2.2497
53;H2COCH2;1.063;1.123
61;CH3S;1.613;1.368
61;CH2S;1.3863;1.06
61;CHS;1.1589;0.748
53;H2COC;0.9104;0.6538
84;C3H2N2+;1.3662;0.6797
85;BTI-;5.621;5.9463
84;C3H3N2+;1.843;1.6997
87;C4H8N+;2.7867;2.7723
89;BF4-;3.9628;0.6214
90;C5H5N+;2.1094;2.5106
91;OTF-;3.371;2.0001
93;-S-S-;1.0678;2.244
98;SO4;0.9903;3.5249
98;HSO4;1.5654;3.8076
99;PF6;3.8183;3.6018
90;C5H4N+;2.4873;2.4457